id,title,function,category,informative_references,linked_iso_ids
GV.OC-01,The organizational mission is understood and informs cybersecurity risk management,"GOVERN (GV): The organization's cybersecurity risk management strategy, expectations, and policy are established, communicated, and monitored","Organizational Context (GV.OC): The circumstances - mission, stakeholder expectations, dependencies, and legal, regulatory, and contractual requirements - surrounding the organization's cybersecurity risk management decisions are understood","CCMv4.0: BCR-01 | CCMv4.0: BCR-07 | CRI Profile v2.0: GV.OC-01 | CRI Profile v2.0: GV.OC-01.01 | CSF v1.1: ID.BE-2 | CSF v1.1: ID.BE-3 | CoP: A3 | IRP: IRP-Sec-1 | IRP: IRP-Sec-1 | IRP: IRP-Sec-1 | ISO/IEC 27001:2022: Mandatory Clause:  4.1 | ISO/IEC 27001:2022: Mandatory Clause:  6.1, | ISO/IEC 27001:2022: Mandatory Clause: 8.1 | ISO/IEC 27001:2022: Mandatory Clause: 8.2 | ISO/IEC 27001:2022: Mandatory Clause: 8.3 | ISO/IEC 27001:2022: Annex A Controls: | NICE Framework: OG-WRL-002 | NICE Framework: OG-WRL-006 | NICE Framework: OG-WRL-007 | NICE Framework: OG-WRL-010 | NICE Framework: OG-WRL-015 | OWASP Top 10 LLM Applications: LLM06-2025 | OWASP Top 10 LLM Applications: LLM09-2025 | PCI DSS: 12.1.1 | SCF: RSK-01.1 | SCF: TDA-06.2 | SP 800-221A: GV.CT-5 | SP 800-221A: GV.CT-3 | SP 800-53 Rev 5.1.1: PM-11 | SP 800-53 Rev 5.2.0: PM-11 | SP-800-37 Rev 2: RMF Prepare Step (Organization & Mission/Business Levels): TASK P-2 Risk Management Strategy | SP-800-37 Rev 2: RMF Prepare Step (Organization & Mission/Business Levels): TASK P-3 Risk Assessment—Organization | SP-800-37 Rev 2: RMF Prepare Step (System Level): TASK P-8 Mission or Business Focus",
GV.OC-02,"Internal and external stakeholders are understood, and their needs and expectations regarding cybersecurity risk management are understood and considered","GOVERN (GV): The organization's cybersecurity risk management strategy, expectations, and policy are established, communicated, and monitored","Organizational Context (GV.OC): The circumstances - mission, stakeholder expectations, dependencies, and legal, regulatory, and contractual requirements - surrounding the organization's cybersecurity risk management decisions are understood",CCMv4.0: STA-08 | CCMv4.0: STA-13 | CRI Profile v2.0: GV.OC-02 | CRI Profile v2.0: GV.OC-02.01 | CRI Profile v2.0: GV.OC-02.02 | CRI Profile v2.0: GV.OC-02.03 | CSF v1.1: ID.SC-2 | CSF v1.1: ID.GV-2 | CoP: A1 | CoP: E2 | CoP: E3 | ISO/IEC 27001:2022: Mandatory Clause: 4.1 | ISO/IEC 27001:2022: Mandatory Clause: 4.2 | ISO/IEC 27001:2022: Mandatory Clause: 4.4 | ISO/IEC 27001:2022: Mandatory Clause: 6.1 | ISO/IEC 27001:2022: Mandatory Clause: 8.1 | ISO/IEC 27001:2022: Mandatory Clause: 8.2 | ISO/IEC 27001:2022: Mandatory Clause: 8.3 | ISO/IEC 27001:2022: Annex A Controls: | NICE Framework: OG-WRL-002 | NICE Framework: OG-WRL-006 | NICE Framework: OG-WRL-007 | NICE Framework: OG-WRL-010 | NICE Framework: OG-WRL-014 | OWASP Top 10 LLM Applications: LLM02-2025 | OWASP Top 10 LLM Applications: LLM09-2025 | PCI DSS: 12.8.1 | PCI DSS: 12.8.5 | PCI DSS: 12.9.1 | PCI DSS: 12.9.2 | PCI DSS: 12.1.4 | SCF: TPM-05 | SCF: TPM-05.4 | SP 800-171 Rev 3: 03.11.01 | SP 800-171 Rev 3: 03.17.02 | SP 800-171 Rev 3: 03.17.03 | SP 800-221A: GV.OV-2 | SP 800-221A: GV.CT-2 | SP 800-221A: GV.CT-3 | SP 800-53 Rev 5.1.1: PM-09 | SP 800-53 Rev 5.1.1: PM-18 | SP 800-53 Rev 5.1.1: PM-30 | SP 800-53 Rev 5.1.1: SR-03 | SP 800-53 Rev 5.1.1: SR-05 | SP 800-53 Rev 5.1.1: SR-06 | SP 800-53 Rev 5.1.1: SR-08 | SP 800-53 Rev 5.2.0: PM-09 | SP 800-53 Rev 5.2.0: PM-18 | SP 800-53 Rev 5.2.0: PM-30 | SP 800-53 Rev 5.2.0: SR-03 | SP 800-53 Rev 5.2.0: SR-05 | SP 800-53 Rev 5.2.0: SR-06 | SP 800-53 Rev 5.2.0: SR-08 | SP-800-37 Rev 2: RMF Prepare Step - Organization and Mission/Business  Level -  Task P-1: Risk Management Roles | SP-800-37 Rev 2: RMF Prepare Step - Organization and Mission/Business  Level -  Task P-3: Risk Assessment - Organizat | SP-800-37 Rev 2: RMF Prepare Step (System Level): TASK P-9 System Stakeholders | SP-800-37 Rev 2: RMF Prepare Step (System Level): TASK P-15 Requirements Definition | SSDF: PO.2.1,
GV.OC-03,"Legal, regulatory, and contractual requirements regarding cybersecurity - including privacy and civil liberties obligations - are understood and managed","GOVERN (GV): The organization's cybersecurity risk management strategy, expectations, and policy are established, communicated, and monitored","Organizational Context (GV.OC): The circumstances - mission, stakeholder expectations, dependencies, and legal, regulatory, and contractual requirements - surrounding the organization's cybersecurity risk management decisions are understood",CCMv4.0: CEK-12 | CCMv4.0: CEK-13 | CCMv4.0: CEK-14 | CCMv4.0: CEK-15 | CCMv4.0: CEK-16 | CCMv4.0: CEK-17 | CCMv4.0: CEK-18 | CCMv4.0: CEK-19 | CCMv4.0: CEK-20 | CCMv4.0: CEK-21 | CCMv4.0: DSP-01 | CCMv4.0: DSP-10 | CCMv4.0: DSP-11 | CCMv4.0: DSP-12 | CCMv4.0: DSP-16 | CCMv4.0: DSP-18 | CCMv4.0: GRC-07 | CCMv4.0: HRS-13 | CCMv4.0: STA-05 | CCMv4.0: STA-13 | CRI Profile v2.0: GV.OC-03 | CRI Profile v2.0: GV.OC-03.01 | CRI Profile v2.0: GV.OC-03.02 | CSF v1.1: ID.GV-3 | CoP: A1 | CoP: D3 | CoP: E2 | CoP: E3 | CoP: E4 | CoP: E5 | ISO/IEC 27001:2022: Mandatory Clause: 4.2(a) | ISO/IEC 27001:2022: Mandatory Clause: 4.2(b) | ISO/IEC 27001:2022: Annex A Controls: 5.20 | ISO/IEC 27001:2022: Annex A Controls: 5.31 | NICE Framework: OG-WRL-002 | NICE Framework: OG-WRL-006 | NICE Framework: OG-WRL-007 | NICE Framework: OG-WRL-008 | NICE Framework: OG-WRL-010 | OWASP Top 10 LLM Applications: LLM02-2025 | OWASP Top 10 LLM Applications: LLM03-2025 | OWASP Top 10 LLM Applications: LLM09-2025 | PCI DSS: 12.8.2 | PCI DSS: 12.8.4 | PCI DSS: 12.8.5 | PCI DSS: 12.8.1 | PCI DSS: 12.9.1 | PCI DSS: 12.9.2 | PCI DSS: 3.2.1 | PCI DSS: 9.4.6 | PCI DSS: 9.4.7 | SCF: CPL-01 | SCF: CPL-02 | SCF: PRI-01 | SCF: TPM-05 | SCF: TPM-05.2 | SP 800-171 Rev 3: 03.15.01 | SP 800-53 Rev 5.1.1: AC-01 | SP 800-53 Rev 5.1.1: AT-01 | SP 800-53 Rev 5.1.1: AU-01 | SP 800-53 Rev 5.1.1: CA-01 | SP 800-53 Rev 5.1.1: CM-01 | SP 800-53 Rev 5.1.1: CP-01 | SP 800-53 Rev 5.1.1: IA-01 | SP 800-53 Rev 5.1.1: IR-01 | SP 800-53 Rev 5.1.1: MA-01 | SP 800-53 Rev 5.1.1: MP-01 | SP 800-53 Rev 5.1.1: PE-01 | SP 800-53 Rev 5.1.1: PL-01 | SP 800-53 Rev 5.1.1: PM-01 | SP 800-53 Rev 5.1.1: PS-01 | SP 800-53 Rev 5.1.1: PT-01 | SP 800-53 Rev 5.1.1: RA-01 | SP 800-53 Rev 5.1.1: SA-01 | SP 800-53 Rev 5.1.1: SC-01 | SP 800-53 Rev 5.1.1: SI-01 | SP 800-53 Rev 5.1.1: SR-01 | SP 800-53 Rev 5.1.1: PM-28 | SP 800-53 Rev 5.1.1: PT | SP 800-53 Rev 5.2.0: AC-01 | SP 800-53 Rev 5.2.0: AT-01 | SP 800-53 Rev 5.2.0: AU-01 | SP 800-53 Rev 5.2.0: CA-01 | SP 800-53 Rev 5.2.0: CM-01 | SP 800-53 Rev 5.2.0: CP-01 | SP 800-53 Rev 5.2.0: IA-01 | SP 800-53 Rev 5.2.0: IR-01 | SP 800-53 Rev 5.2.0: MA-01 | SP 800-53 Rev 5.2.0: MP-01 | SP 800-53 Rev 5.2.0: PE-01 | SP 800-53 Rev 5.2.0: PL-01 | SP 800-53 Rev 5.2.0: PM-01 | SP 800-53 Rev 5.2.0: PS-01 | SP 800-53 Rev 5.2.0: PT-01 | SP 800-53 Rev 5.2.0: RA-01 | SP 800-53 Rev 5.2.0: SA-01 | SP 800-53 Rev 5.2.0: SC-01 | SP 800-53 Rev 5.2.0: SI-01 | SP 800-53 Rev 5.2.0: SR-01 | SP 800-53 Rev 5.2.0: PM-28 | SP 800-53 Rev 5.2.0: PT | SP-800-37 Rev 2: RMF Prepare Step (Organization & Mission/Business Levels): TASK P-2 Risk Management Strategy | SP-800-37 Rev 2: RMF Prepare Step (System Level): TASK P-15 Requirements Definition | SP-800-37 Rev 2: RMF Prepare Step (System Level): TASK P-17 Requirements Allocation | SSDF: PO.1.1 | SSDF: PO.1.2,A.5.20;A.5.31
GV.OC-04,"Critical objectives, capabilities, and services that external stakeholders depend on or expect from the organization are understood and communicated","GOVERN (GV): The organization's cybersecurity risk management strategy, expectations, and policy are established, communicated, and monitored","Organizational Context (GV.OC): The circumstances - mission, stakeholder expectations, dependencies, and legal, regulatory, and contractual requirements - surrounding the organization's cybersecurity risk management decisions are understood",CCMv4.0: BCR-01 | CCMv4.0: BCR-02 | CCMv4.0: BCR-03 | CCMv4.0: BCR-11 | CCMv4.0: IVS-02 | CCMv4.0: STA-05 | CRI Profile v2.0: GV.OC-04 | CRI Profile v2.0: GV.OC-04.01 | CRI Profile v2.0: GV.OC-04.02 | CRI Profile v2.0: GV.OC-04.03 | CRI Profile v2.0: GV.OC-04.04 | CSF v1.1: ID.BE-4 | CSF v1.1: ID.BE-5 | CoP: A1 | ISO/IEC 27001:2022: Mandatory Clause: 4.2(a) | ISO/IEC 27001:2022: Mandatory Clause: 4.2(b) | ISO/IEC 27001:2022: Annex A Controls: 5.20 | ISO/IEC 27001:2022: Annex A Controls: 5.31 | NICE Framework: OG-WRL-002 | NICE Framework: OG-WRL-006 | NICE Framework: OG-WRL-007 | NICE Framework: OG-WRL-010 | NICE Framework: OG-WRL-014 | OWASP Top 10 LLM Applications: LLM09-2025 | OWASP Top 10 LLM Applications: LLM10-2025 | PCI DSS: 12.10.1 | PCI DSS: 12.5.2 | PCI DSS: 12.5.1 | SCF: BCD-02 | SCF: TPM-02 | SP 800-221A: MA.RI-1 | SP 800-53 Rev 5.1.1: PM-08 | SP 800-53 Rev 5.1.1: PM-11 | SP 800-53 Rev 5.1.1: CP-02(08) | SP 800-53 Rev 5.1.1: PM-30(01) | SP 800-53 Rev 5.1.1: RA-09 | SP 800-53 Rev 5.2.0: PM-08 | SP 800-53 Rev 5.2.0: PM-11 | SP 800-53 Rev 5.2.0: CP-02(08) | SP 800-53 Rev 5.2.0: PM-30(01) | SP 800-53 Rev 5.2.0: RA-09 | SP-800-37 Rev 2: RMF Prepare Step (Organization & Mission/Business Levels): TASK P-2 Risk Management Strategy | SP-800-37 Rev 2: RMF Prepare Step (System Level): TASK P-8 Mission or Business Focus | SP-800-37 Rev 2: RMF Prepare Step (System Level): TASK P-9 System Stakeholders,A.5.20;A.5.31
GV.OC-05,"Outcomes, capabilities, and services that the organization depends on are understood and communicated","GOVERN (GV): The organization's cybersecurity risk management strategy, expectations, and policy are established, communicated, and monitored","Organizational Context (GV.OC): The circumstances - mission, stakeholder expectations, dependencies, and legal, regulatory, and contractual requirements - surrounding the organization's cybersecurity risk management decisions are understood",CCMv4.0: BCR-11 | CCMv4.0: STA-01 | CCMv4.0: STA-04 | CRI Profile v2.0: GV.OC-05 | CRI Profile v2.0: GV.OC-05.01 | CRI Profile v2.0: GV.OC-05.02 | CRI Profile v2.0: GV.OC-05.03 | CRI Profile v2.0: GV.OC-05.04 | CSF v1.1: ID.BE-1 | CSF v1.1: ID.BE-4 | ISO/IEC 27001:2022: Mandatory Clause: None | ISO/IEC 27001:2022: Annex A Controls: 5.3 | NICE Framework: OG-WRL-002 | NICE Framework: OG-WRL-006 | NICE Framework: OG-WRL-007 | NICE Framework: OG-WRL-010 | NICE Framework: OG-WRL-014 | OWASP Top 10 LLM Applications: LLM03-2025 | OWASP Top 10 LLM Applications: LLM10-2025 | PCI DSS: 12.8.1 | PCI DSS: 12.8.4 | PCI DSS: 12.9.1 | PCI DSS: 12.9.2 | PCI DSS: 1.2.3 | PCI DSS: 1.2.4 | PCI DSS: 12.5.2 | PCI DSS: 12.5.1 | SCF: BCD-02 | SCF: TPM-02 | SP 800-171 Rev 3: 03.11.04 | SP 800-171 Rev 3: 03.16.03 | SP 800-171 Rev 3: 03.17.02 | SP 800-221A: GV.CT-5 | SP 800-221A: MA.RI-1 | SP 800-53 Rev 5.1.1: PM-11 | SP 800-53 Rev 5.1.1: PM-30 | SP 800-53 Rev 5.1.1: RA-07 | SP 800-53 Rev 5.1.1: SA-09 | SP 800-53 Rev 5.1.1: SR-05 | SP 800-53 Rev 5.2.0: PM-11 | SP 800-53 Rev 5.2.0: PM-30 | SP 800-53 Rev 5.2.0: RA-07 | SP 800-53 Rev 5.2.0: SA-09 | SP 800-53 Rev 5.2.0: SR-05 | SP-800-37 Rev 2: RMF Prepare Step (System Level): TASK P-8 Mission or Business Focus | SP-800-37 Rev 2: RMF Prepare Step (System Level): TASK P-10 Asset Identification,A.5.3
GV.RM-01,Risk management objectives are established and agreed to by organizational stakeholders,"GOVERN (GV): The organization's cybersecurity risk management strategy, expectations, and policy are established, communicated, and monitored","Risk Management Strategy (GV.RM): The organization's priorities, constraints, risk tolerance and appetite statements, and assumptions are established, communicated, and used to support operational risk decisions",CCMv4.0: GRC-02 | CCMv4.0: CEK-07 | CRI Profile v2.0: GV.RM-01 | CRI Profile v2.0: GV.RM-01.01 | CRI Profile v2.0: GV.RM-01.02 | CRI Profile v2.0: GV.RM-01.03 | CRI Profile v2.0: GV.RM-01.04 | CRI Profile v2.0: GV.RM-01.05 | CSF v1.1: ID.RM-1 | CoP: A1 | IRP: IRP-Sec-2 | IRP: IRP-Sec-2 | IRP: IRP-Sec-2 | ISO/IEC 27001:2022: Mandatory Clause: 6.1.1 | ISO/IEC 27001:2022: Mandatory Clause: 6.1.2 | ISO/IEC 27001:2022: Annex A Controls: 5.1 | NICE Framework: OG-WRL-002 | NICE Framework: OG-WRL-007 | NICE Framework: OG-WRL-008 | NICE Framework: OG-WRL-011 | NICE Framework: OG-WRL-012 | NICE Framework: OG-WRL-013 | NICE Framework: OG-WRL-014 | NICE Framework: OG-WRL-015 | PCI DSS: 12.1.4 | PCI DSS: 12.1.2 | PCI DSS: 12.1.1 | SCF: GOV-01 | SCF: RSK-01 | SP 800-171 Rev 3: 03.11.04 | SP 800-171 Rev 3: 03.17.01 | SP 800-221A: GV.RR-2 | SP 800-53 Rev 5.1.1: PM-09 | SP 800-53 Rev 5.1.1: RA-07 | SP 800-53 Rev 5.1.1: SR-02 | SP 800-53 Rev 5.2.0: PM-09 | SP 800-53 Rev 5.2.0: RA-07 | SP 800-53 Rev 5.2.0: SR-02 | SP-800-37 Rev 2: RMF Prepare Step (Organization & Mission/Business Levels): TASK P-2 Risk Management Strategy,A.5.1
GV.RM-02,"Risk appetite and risk tolerance statements are established, communicated, and maintained","GOVERN (GV): The organization's cybersecurity risk management strategy, expectations, and policy are established, communicated, and monitored","Risk Management Strategy (GV.RM): The organization's priorities, constraints, risk tolerance and appetite statements, and assumptions are established, communicated, and used to support operational risk decisions",CCMv4.0: GRC-02 | CCMv4.0: BCR-03 | CCMv4.0: IVS-08 | CRI Profile v2.0: GV.RM-02 | CRI Profile v2.0: GV.RM-02.01 | CRI Profile v2.0: GV.RM-02.02 | CRI Profile v2.0: GV.RM-02.03 | CSF v1.1: ID.RM-2 | CSF v1.1: ID.RM-3 | CoP: A3 | IRP: IRP-Sec-5 | IRP: IRP-Sec-5 | IRP: IRP-Sec-5 | ISO/IEC 27001:2022: Mandatory Clause: 6.1.2 | ISO/IEC 27001:2022: Annex A Controls: 5.1 | NICE Framework: DD-WRL-006 | NICE Framework: IO-WRL-003 | NICE Framework: OG-WRL-002 | NICE Framework: OG-WRL-006 | NICE Framework: OG-WRL-007 | NICE Framework: OG-WRL-010 | NICE Framework: OG-WRL-011 | NICE Framework: OG-WRL-013 | NICE Framework: OG-WRL-014 | NICE Framework: OG-WRL-015 | OWASP Top 10 LLM Applications: LLM06-2025 | OWASP Top 10 LLM Applications: LLM09-2025 | SP 800-221A: GV.BE-1 | SP 800-221A: GV.BE-3 | SP 800-53 Rev 5.1.1: PM-09 | SP 800-53 Rev 5.2.0: PM-09 | SP-800-37 Rev 2: RMF Prepare Step (Organization & Mission/Business Levels): TASK P-2 Risk Management Strategy,A.5.1
GV.RM-03,Cybersecurity risk management activities and outcomes are included in enterprise risk management processes,"GOVERN (GV): The organization's cybersecurity risk management strategy, expectations, and policy are established, communicated, and monitored","Risk Management Strategy (GV.RM): The organization's priorities, constraints, risk tolerance and appetite statements, and assumptions are established, communicated, and used to support operational risk decisions",CCMv4.0: GRC-02 | CCMv4.0: A&A-03 | CRI Profile v2.0: GV.RM-03 | CRI Profile v2.0: GV.RM-03.01 | CRI Profile v2.0: GV.RM-03.02 | CRI Profile v2.0: GV.RM-03.03 | CRI Profile v2.0: GV.RM-03.04 | CSF v1.1: ID.GV-4 | CoP: A2 | ISO/IEC 27001:2022: Mandatory Clause: 6.1.3 | ISO/IEC 27001:2022: Annex A Controls: 5.1 | NICE Framework: DD-WRL-002 | NICE Framework: OG-WRL-002 | NICE Framework: OG-WRL-006 | NICE Framework: OG-WRL-007 | NICE Framework: OG-WRL-008 | NICE Framework: OG-WRL-010 | NICE Framework: OG-WRL-011 | NICE Framework: OG-WRL-015 | PCI DSS: 12.5.3 | PCI DSS: 10.4.2.1 | PCI DSS: 11.3.1.1 | PCI DSS: 11.6.1 | PCI DSS: 12.10.4.1 | PCI DSS: 5.2.3.1 | PCI DSS: 5.3.2.1 | PCI DSS: 7.2.5.1 | PCI DSS: 8.6.3 | PCI DSS: 6.3.1 | PCI DSS: 6.3.3 | PCI DSS: 9.5.1.2.1 | PCI DSS: 12.3.4 | PCI DSS: 12.3.3 | PCI DSS: 12.8.3 | SCF: GOV-01 | SCF: RSK-01 | SP 800-171 Rev 3: 03.11.04 | SP 800-171 Rev 3: 03.17.01 | SP 800-221A: GV.PO-2 | SP 800-221A: GV.PO-3 | SP 800-53 Rev 5.1.1: PM-03 | SP 800-53 Rev 5.1.1: PM-09 | SP 800-53 Rev 5.1.1: PM-30 | SP 800-53 Rev 5.1.1: RA-07 | SP 800-53 Rev 5.1.1: SR-02 | SP 800-53 Rev 5.2.0: PM-03 | SP 800-53 Rev 5.2.0: PM-09 | SP 800-53 Rev 5.2.0: PM-30 | SP 800-53 Rev 5.2.0: RA-07 | SP 800-53 Rev 5.2.0: SA-24 | SP 800-53 Rev 5.2.0: SR-02 | SP-800-37 Rev 2: RMF Prepare Step (Organization & Mission/Business Levels): TASK P-2 Risk Management Strategy,A.5.1
GV.RM-04,Strategic direction that describes appropriate risk response options is established and communicated,"GOVERN (GV): The organization's cybersecurity risk management strategy, expectations, and policy are established, communicated, and monitored","Risk Management Strategy (GV.RM): The organization's priorities, constraints, risk tolerance and appetite statements, and assumptions are established, communicated, and used to support operational risk decisions",CCMv4.0: GRC-02 | CCMv4.0: BCR-03 | CCMv4.0: STA-01 | CRI Profile v2.0: GV.RM-04 | CRI Profile v2.0: GV.RM-04.01 | CSF v1.1: ID.RM-2 | CoP: B1 | CoP: B2 | ISO/IEC 27001:2022: Mandatory Clause: 6.1.3 | ISO/IEC 27001:2022: Annex A Controls: 5.1 | NICE Framework: OG-WRL-002 | NICE Framework: OG-WRL-007 | NICE Framework: OG-WRL-010 | NICE Framework: OG-WRL-015 | PCI DSS: 12.10.1 | PCI DSS: 12.10.2 | PCI DSS: 12.10.6 | SCF: RSK-01 | SCF: RSK-01.1 | SCF: RSK-06.1 | SP 800-171 Rev 3: 03.17.01 | SP 800-221A: GV.BE-1 | SP 800-53 Rev 5.1.1: PM-09 | SP 800-53 Rev 5.1.1: PM-28 | SP 800-53 Rev 5.1.1: PM-30 | SP 800-53 Rev 5.1.1: SR-02 | SP 800-53 Rev 5.2.0: PM-09 | SP 800-53 Rev 5.2.0: PM-28 | SP 800-53 Rev 5.2.0: PM-30 | SP 800-53 Rev 5.2.0: SR-02 | SP-800-37 Rev 2: RMF Prepare Step (Organization & Mission/Business Levels): TASK P-2 Risk Management Strategy | SP-800-37 Rev 2: RMF Prepare Step (Organization & Mission/Business Levels): TASK P-7 Continuous Monitoring Strategy—O,A.5.1
GV.RM-05,"Lines of communication across the organization are established for cybersecurity risks, including risks from suppliers and other third parties","GOVERN (GV): The organization's cybersecurity risk management strategy, expectations, and policy are established, communicated, and monitored","Risk Management Strategy (GV.RM): The organization's priorities, constraints, risk tolerance and appetite statements, and assumptions are established, communicated, and used to support operational risk decisions",CCMv4.0: GRC-02 | CCMv4.0: STA-01 | CCMv4.0: STA-08 | CRI Profile v2.0: GV.RM-05 | CRI Profile v2.0: GV.RM-05.01 | CRI Profile v2.0: GV.RM-05.02 | CSF v1.1: ID.SC-1 | ISO/IEC 27001:2022: Mandatory Clause: 6.1.1 | ISO/IEC 27001:2022: Mandatory Clause: 6.1.3 | ISO/IEC 27001:2022: Annex A Controls: 5.1 | ISO/IEC 27001:2022: Annex A Controls: 5.19 | NICE Framework: DD-WRL-006 | NICE Framework: OG-WRL-002 | NICE Framework: OG-WRL-003 | NICE Framework: OG-WRL-007 | NICE Framework: OG-WRL-008 | NICE Framework: OG-WRL-009 | NICE Framework: OG-WRL-010 | NICE Framework: OG-WRL-013 | NICE Framework: OG-WRL-014 | NICE Framework: OG-WRL-015 | PCI DSS: 12.8.2 | PCI DSS: 12.8.5 | PCI DSS: 12.9.2 | PCI DSS: 12.9.1 | PCI DSS: 12.8.4 | PCI DSS: 12.5.3 | PCI DSS: 12.10.1 | PCI DSS: 10.7.1 | PCI DSS: 10.7.2 | SCF: GOV-04 | SCF: HRS-03 | SCF: TPM-05.4 | SP 800-221A: GV.PO-1 | SP 800-53 Rev 5.1.1: PM-09 | SP 800-53 Rev 5.1.1: PM-30 | SP 800-53 Rev 5.2.0: PM-09 | SP 800-53 Rev 5.2.0: PM-30 | SP-800-37 Rev 2: RMF Prepare Step (Organization & Mission/Business Levels): TASK P-1 Risk Management Roles | SP-800-37 Rev 2: RMF Prepare Step (Organization & Mission/Business Levels): TASK P-2 Risk Management Strategy | SP-800-37 Rev 2: RMF Prepare Step (Organization & Mission/Business Levels): TASK P-7 Continuous Monitoring Strategy—O | SP-800-37 Rev 2: RMF Prepare Step (System Level): TASK P-9 System Stakeholders,A.5.1;A.5.19
