question_id,gqm_ref,framework,standard_id,question_type,metric_id,evidence_kind,question_text,status
GQM-ISO-001-EVID-01,GQM-ISO-001,ISO27001:2022,A.5.1,evidence_first,,PolicyProcedureEvidence,"What traceable evidence demonstrates that the outcome/control 'A.5.1 - Policies for Information Security' is implemented or satisfied within the declared scope, and what provenance supports that evidence?",R1_FINAL_POST_ADJUDICATION_MAPPING
GQM-ISO-010-EVID-01,GQM-ISO-010,ISO27001:2022,A.5.10,evidence_first,,PolicyProcedureEvidence,"What traceable evidence demonstrates that the outcome/control 'A.5.10 - Acceptable Use of Information and Other Associated Assets' is implemented or satisfied within the declared scope, and what provenance supports that evidence?",R1_FINAL_POST_ADJUDICATION_MAPPING
GQM-ISO-011-EVID-01,GQM-ISO-011,ISO27001:2022,A.5.11,evidence_first,,AssetInventoryEvidence,"What traceable evidence demonstrates that the outcome/control 'A.5.11 - Return of Assets' is implemented or satisfied within the declared scope, and what provenance supports that evidence?",R1_FINAL_POST_ADJUDICATION_MAPPING
GQM-ISO-012-EVID-01,GQM-ISO-012,ISO27001:2022,A.5.12,evidence_first,,PrivacyDataProtectionEvidence,"What traceable evidence demonstrates that the outcome/control 'A.5.12 - Classification of Information' is implemented or satisfied within the declared scope, and what provenance supports that evidence?",R1_FINAL_POST_ADJUDICATION_MAPPING
GQM-ISO-013-EVID-01,GQM-ISO-013,ISO27001:2022,A.5.13,evidence_first,,PrivacyDataProtectionEvidence,"What traceable evidence demonstrates that the outcome/control 'A.5.13 - Labelling of Information' is implemented or satisfied within the declared scope, and what provenance supports that evidence?",R1_FINAL_POST_ADJUDICATION_MAPPING
GQM-ISO-014-EVID-01,GQM-ISO-014,ISO27001:2022,A.5.14,evidence_first,,PrivacyDataProtectionEvidence,"What traceable evidence demonstrates that the outcome/control 'A.5.14 - Information Transfer' is implemented or satisfied within the declared scope, and what provenance supports that evidence?",R1_FINAL_POST_ADJUDICATION_MAPPING
GQM-ISO-015-EVID-01,GQM-ISO-015,ISO27001:2022,A.5.15,evidence_first,,IdentityAccessEvidence,"What traceable evidence demonstrates that the outcome/control 'A.5.15 - Access Control' is implemented or satisfied within the declared scope, and what provenance supports that evidence?",R1_FINAL_POST_ADJUDICATION_MAPPING
GQM-ISO-016-EVID-01,GQM-ISO-016,ISO27001:2022,A.5.16,evidence_first,,IdentityAccessEvidence,"What traceable evidence demonstrates that the outcome/control 'A.5.16 - Identity Management' is implemented or satisfied within the declared scope, and what provenance supports that evidence?",R1_FINAL_POST_ADJUDICATION_MAPPING
GQM-ISO-017-EVID-01,GQM-ISO-017,ISO27001:2022,A.5.17,evidence_first,,IdentityAccessEvidence,"What traceable evidence demonstrates that the outcome/control 'A.5.17 - Authentication Information' is implemented or satisfied within the declared scope, and what provenance supports that evidence?",R1_FINAL_POST_ADJUDICATION_MAPPING
GQM-ISO-018-EVID-01,GQM-ISO-018,ISO27001:2022,A.5.18,evidence_first,,IdentityAccessEvidence,"What traceable evidence demonstrates that the outcome/control 'A.5.18 - Access Rights' is implemented or satisfied within the declared scope, and what provenance supports that evidence?",R1_FINAL_POST_ADJUDICATION_MAPPING
