control_id,name,capex,opex,ai_opex,effectiveness,detect_gain,fpr_delta,hf_delta,linked_iso_id,linked_csf_id,metric_ids
CTRL-01,Identity hardening,28000,5200,1600,0.18,0.03,-0.004,0.02,A.5.15,PR.AA-01,HF_AWARENESS;RRL_PORTFOLIO;TCO_3Y
CTRL-02,MFA expansion,32000,6100,1200,0.22,0.04,-0.006,0.04,A.5.17,PR.AA-03,HF_AWARENESS;RRL_PORTFOLIO;TCO_3Y
CTRL-03,Security awareness program,15000,4200,900,0.14,0.01,0.0,0.12,A.6.3,PR.AT-01,DR;HF_AWARENESS;RRL_PORTFOLIO;TCO_3Y
CTRL-04,Patch orchestration,26000,4800,1800,0.19,0.025,-0.003,0.01,A.8.8,PR.PS-02,AUROC;DR;EP_EXPLOIT;FPR;RRL_PORTFOLIO;TCO_3Y
CTRL-05,Network segmentation,42000,6900,2200,0.25,0.018,-0.002,0.0,A.8.20,PR.IR-01,AUROC;DR;EP_EXPLOIT;FPR;RRL_PORTFOLIO;TCO_3Y
CTRL-06,EDR telemetry uplift,39000,7800,3200,0.24,0.052,0.003,0.0,A.8.16,DE.CM-09,AUROC;DR;EP_EXPLOIT;FPR;RRL_PORTFOLIO;TCO_3Y
CTRL-07,SIEM tuning,24000,5600,2800,0.16,0.035,-0.008,0.0,A.8.15,DE.AE-06,AUROC;DR;EP_EXPLOIT;FPR;RRL_PORTFOLIO;TCO_3Y
CTRL-08,Vulnerability prioritization,18000,3900,1100,0.15,0.012,-0.001,0.0,A.5.7,ID.RA-01,HF_AWARENESS;RRL_PORTFOLIO;TCO_3Y
CTRL-09,Backup resilience,35000,4500,1400,0.17,0.0,0.0,0.0,A.8.13,RC.RP-03,AUROC;DR;EP_EXPLOIT;FPR;RRL_PORTFOLIO;TCO_3Y
CTRL-10,IR tabletop drills,11000,2700,400,0.11,0.005,0.0,0.03,A.5.24,RS.MA-01,HF_AWARENESS;RRL_PORTFOLIO;TCO_3Y
CTRL-11,Threat intel enrichment,16000,3100,1400,0.12,0.016,0.001,0.0,A.5.7,ID.RA-03,HF_AWARENESS;RRL_PORTFOLIO;TCO_3Y
CTRL-12,Asset inventory cleanup,14000,2100,300,0.09,0.003,-0.001,0.0,A.5.9,ID.AM-01,HF_AWARENESS;RRL_PORTFOLIO;TCO_3Y
CTRL-13,Supplier assurance uplift,21000,3500,300,0.1,0.004,0.0,0.01,A.5.19,GV.SC-06,HF_AWARENESS;RRL_PORTFOLIO;TCO_3Y
CTRL-14,Secure configuration baseline,27000,4700,900,0.2,0.02,-0.002,0.0,A.8.9,PR.PS-01,AUROC;DR;EP_EXPLOIT;FPR;RRL_PORTFOLIO;TCO_3Y
